"chr","from","to","bkpt_in_window_ESAD","bkpt_in_window_GACA","bkpt_in_window_LIRI","bkpt_in_window_MALY","bkpt_in_window_OV","bkpt_in_window_PACA","bkpt_in_window_RECA","total_bkpt_in_window_ESAD","total_bkpt_in_window_GACA","total_bkpt_in_window_LIRI","total_bkpt_in_window_MALY","total_bkpt_in_window_OV","total_bkpt_in_window_PACA","total_bkpt_in_window_RECA","density_ESAD","density_GACA","density_LIRI","density_MALY","density_OV","density_PACA","density_RECA"
"1",2.7e+07,27500000,21,4,28,1,9,19,0,3174,846,4562,734,3418,3028,117,0.00661625708884688,0.00472813238770686,0.00613765892152565,0.00136239782016349,0.00263311878291398,0.00627476882430647,0
"1",27500000,2.8e+07,13,6,9,0,8,11,0,3174,846,4562,734,3418,3028,117,0.00409577819785759,0.00709219858156028,0.00197281893906182,0,0.00234055002925688,0.00363276089828269,0
"1",2.8e+07,28500000,13,7,8,1,7,10,0,3174,846,4562,734,3418,3028,117,0.00409577819785759,0.008274231678487,0.00175361683472161,0.00136239782016349,0.00204798127559977,0.00330250990752972,0
"1",28500000,2.9e+07,8,1,14,3,8,8,0,3174,846,4562,734,3418,3028,117,0.00252047889098929,0.00118203309692671,0.00306882946076282,0.00408719346049046,0.00234055002925688,0.00264200792602378,0
"1",2.9e+07,29500000,11,3,10,5,3,7,0,3174,846,4562,734,3418,3028,117,0.00346565847511027,0.00354609929078014,0.00219202104340202,0.00681198910081744,0.000877706260971328,0.00231175693527081,0
"1",29500000,3e+07,4,0,5,0,2,7,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0,0.00109601052170101,0,0.000585137507314219,0.00231175693527081,0
"1",3e+07,30500000,6,0,14,0,2,4,0,3174,846,4562,734,3418,3028,117,0.00189035916824197,0,0.00306882946076282,0,0.000585137507314219,0.00132100396301189,0
"1",30500000,3.1e+07,3,2,5,1,7,6,2,3174,846,4562,734,3418,3028,117,0.000945179584120983,0.00236406619385343,0.00109601052170101,0.00136239782016349,0.00204798127559977,0.00198150594451783,0.0170940170940171
"1",3.1e+07,31500000,8,4,24,5,20,11,0,3174,846,4562,734,3418,3028,117,0.00252047889098929,0.00472813238770686,0.00526085050416484,0.00681198910081744,0.00585137507314219,0.00363276089828269,0
"1",31500000,3.2e+07,16,1,9,2,11,12,1,3174,846,4562,734,3418,3028,117,0.00504095778197858,0.00118203309692671,0.00197281893906182,0.00272479564032698,0.0032182562902282,0.00396301188903567,0.00854700854700855
"1",3.2e+07,32500000,27,2,6,2,7,20,1,3174,846,4562,734,3418,3028,117,0.00850661625708885,0.00236406619385343,0.00131521262604121,0.00272479564032698,0.00204798127559977,0.00660501981505945,0.00854700854700855
"1",32500000,3.3e+07,39,3,14,4,14,1,0,3174,846,4562,734,3418,3028,117,0.0122873345935728,0.00354609929078014,0.00306882946076282,0.00544959128065395,0.00409596255119953,0.000330250990752972,0
"1",3.3e+07,33500000,23,8,59,1,14,12,3,3174,846,4562,734,3418,3028,117,0.0072463768115942,0.00945626477541371,0.0129329241560719,0.00136239782016349,0.00409596255119953,0.00396301188903567,0.0256410256410256
"1",33500000,3.4e+07,6,2,44,0,8,7,3,3174,846,4562,734,3418,3028,117,0.00189035916824197,0.00236406619385343,0.00964489259096887,0,0.00234055002925688,0.00231175693527081,0.0256410256410256
"1",3.4e+07,34500000,0,3,34,0,17,9,2,3174,846,4562,734,3418,3028,117,0,0.00354609929078014,0.00745287154756686,0,0.00497366881217086,0.00297225891677675,0.0170940170940171
"1",34500000,3.5e+07,0,2,6,0,8,15,0,3174,846,4562,734,3418,3028,117,0,0.00236406619385343,0.00131521262604121,0,0.00234055002925688,0.00495376486129458,0
"1",3.5e+07,35500000,2,2,9,3,9,7,1,3174,846,4562,734,3418,3028,117,0.000630119722747322,0.00236406619385343,0.00197281893906182,0.00408719346049046,0.00263311878291398,0.00231175693527081,0.00854700854700855
"1",35500000,3.6e+07,4,2,14,0,18,5,2,3174,846,4562,734,3418,3028,117,0.00126023944549464,0.00236406619385343,0.00306882946076282,0,0.00526623756582797,0.00165125495376486,0.0170940170940171
"1",3.6e+07,36500000,9,4,12,2,11,8,0,3174,846,4562,734,3418,3028,117,0.00283553875236295,0.00472813238770686,0.00263042525208242,0.00272479564032698,0.0032182562902282,0.00264200792602378,0
"1",36500000,3.7e+07,10,1,15,0,20,5,0,3174,846,4562,734,3418,3028,117,0.00315059861373661,0.00118203309692671,0.00328803156510302,0,0.00585137507314219,0.00165125495376486,0
"1",3.7e+07,37500000,1,3,8,0,17,7,0,3174,846,4562,734,3418,3028,117,0.000315059861373661,0.00354609929078014,0.00175361683472161,0,0.00497366881217086,0.00231175693527081,0
"1",37500000,3.8e+07,2,0,8,2,17,2,0,3174,846,4562,734,3418,3028,117,0.000630119722747322,0,0.00175361683472161,0.00272479564032698,0.00497366881217086,0.000660501981505945,0
"1",38500000,3.9e+07,2,0,11,0,8,11,0,3174,846,4562,734,3418,3028,117,0.000630119722747322,0,0.00241122314774222,0,0.00234055002925688,0.00363276089828269,0
"1",3.9e+07,39500000,2,1,7,0,19,13,0,3174,846,4562,734,3418,3028,117,0.000630119722747322,0.00118203309692671,0.00153441473038141,0,0.00555880631948508,0.00429326287978864,0
"1",39500000,4e+07,5,1,20,2,14,13,1,3174,846,4562,734,3418,3028,117,0.0015752993068683,0.00118203309692671,0.00438404208680403,0.00272479564032698,0.00409596255119953,0.00429326287978864,0.00854700854700855
"1",4e+07,40500000,5,3,10,2,15,21,0,3174,846,4562,734,3418,3028,117,0.0015752993068683,0.00354609929078014,0.00219202104340202,0.00272479564032698,0.00438853130485664,0.00693527080581242,0
"1",40500000,4.1e+07,3,4,15,2,16,17,0,3174,846,4562,734,3418,3028,117,0.000945179584120983,0.00472813238770686,0.00328803156510302,0.00272479564032698,0.00468110005851375,0.00561426684280053,0
"1",4.1e+07,41500000,10,1,11,2,15,7,0,3174,846,4562,734,3418,3028,117,0.00315059861373661,0.00118203309692671,0.00241122314774222,0.00272479564032698,0.00438853130485664,0.00231175693527081,0
"1",41500000,4.2e+07,10,4,5,2,27,5,0,3174,846,4562,734,3418,3028,117,0.00315059861373661,0.00472813238770686,0.00109601052170101,0.00272479564032698,0.00789935634874196,0.00165125495376486,0
"1",4.2e+07,42500000,4,2,10,2,14,14,4,3174,846,4562,734,3418,3028,117,0.00126023944549464,0.00236406619385343,0.00219202104340202,0.00272479564032698,0.00409596255119953,0.00462351387054161,0.0341880341880342
"1",42500000,4.3e+07,3,2,2,2,20,20,0,3174,846,4562,734,3418,3028,117,0.000945179584120983,0.00236406619385343,0.000438404208680403,0.00272479564032698,0.00585137507314219,0.00660501981505945,0
"1",4.3e+07,43500000,7,8,14,2,10,2,0,3174,846,4562,734,3418,3028,117,0.00220541902961563,0.00945626477541371,0.00306882946076282,0.00272479564032698,0.00292568753657109,0.000660501981505945,0
"1",43500000,4.4e+07,16,1,26,3,19,14,0,3174,846,4562,734,3418,3028,117,0.00504095778197858,0.00118203309692671,0.00569925471284524,0.00408719346049046,0.00555880631948508,0.00462351387054161,0
"1",4.4e+07,44500000,8,0,6,0,25,8,0,3174,846,4562,734,3418,3028,117,0.00252047889098929,0,0.00131521262604121,0,0.00731421884142774,0.00264200792602378,0
"1",44500000,4.5e+07,4,0,9,0,11,11,2,3174,846,4562,734,3418,3028,117,0.00126023944549464,0,0.00197281893906182,0,0.0032182562902282,0.00363276089828269,0.0170940170940171
"1",4.5e+07,45500000,9,3,4,2,27,7,0,3174,846,4562,734,3418,3028,117,0.00283553875236295,0.00354609929078014,0.000876808417360807,0.00272479564032698,0.00789935634874196,0.00231175693527081,0
"1",45500000,4.6e+07,10,1,18,0,17,4,0,3174,846,4562,734,3418,3028,117,0.00315059861373661,0.00118203309692671,0.00394563787812363,0,0.00497366881217086,0.00132100396301189,0
"1",4.6e+07,46500000,3,3,13,2,13,22,0,3174,846,4562,734,3418,3028,117,0.000945179584120983,0.00354609929078014,0.00284962735642262,0.00272479564032698,0.00380339379754242,0.00726552179656539,0
"1",46500000,4.7e+07,6,2,9,0,23,13,0,3174,846,4562,734,3418,3028,117,0.00189035916824197,0.00236406619385343,0.00197281893906182,0,0.00672908133411352,0.00429326287978864,0
"1",4.7e+07,47500000,29,0,6,0,12,17,0,3174,846,4562,734,3418,3028,117,0.00913673597983617,0,0.00131521262604121,0,0.00351082504388531,0.00561426684280053,0
"1",47500000,4.8e+07,6,0,8,2,8,3,0,3174,846,4562,734,3418,3028,117,0.00189035916824197,0,0.00175361683472161,0.00272479564032698,0.00234055002925688,0.000990752972258917,0
"1",4.8e+07,48500000,16,0,9,2,7,5,0,3174,846,4562,734,3418,3028,117,0.00504095778197858,0,0.00197281893906182,0.00272479564032698,0.00204798127559977,0.00165125495376486,0
"1",48500000,4.9e+07,2,2,5,1,7,10,0,3174,846,4562,734,3418,3028,117,0.000630119722747322,0.00236406619385343,0.00109601052170101,0.00136239782016349,0.00204798127559977,0.00330250990752972,0
"1",4.9e+07,49500000,16,0,5,3,7,11,0,3174,846,4562,734,3418,3028,117,0.00504095778197858,0,0.00109601052170101,0.00408719346049046,0.00204798127559977,0.00363276089828269,0
"1",49500000,5e+07,23,8,13,2,9,30,1,3174,846,4562,734,3418,3028,117,0.0072463768115942,0.00945626477541371,0.00284962735642262,0.00272479564032698,0.00263311878291398,0.00990752972258917,0.00854700854700855
"1",5e+07,50500000,15,5,7,4,12,15,3,3174,846,4562,734,3418,3028,117,0.00472589792060491,0.00591016548463357,0.00153441473038141,0.00544959128065395,0.00351082504388531,0.00495376486129458,0.0256410256410256
"1",50500000,5.1e+07,10,1,8,3,4,13,0,3174,846,4562,734,3418,3028,117,0.00315059861373661,0.00118203309692671,0.00175361683472161,0.00408719346049046,0.00117027501462844,0.00429326287978864,0
"1",5.1e+07,51500000,22,0,27,2,5,7,0,3174,846,4562,734,3418,3028,117,0.00693131695022054,0,0.00591845681718545,0.00272479564032698,0.00146284376828555,0.00231175693527081,0
"1",51500000,5.2e+07,1,2,15,0,2,4,3,3174,846,4562,734,3418,3028,117,0.000315059861373661,0.00236406619385343,0.00328803156510302,0,0.000585137507314219,0.00132100396301189,0.0256410256410256
"1",5.2e+07,52500000,3,0,20,0,7,3,0,3174,846,4562,734,3418,3028,117,0.000945179584120983,0,0.00438404208680403,0,0.00204798127559977,0.000990752972258917,0
"1",52500000,5.3e+07,6,2,14,2,3,8,0,3174,846,4562,734,3418,3028,117,0.00189035916824197,0.00236406619385343,0.00306882946076282,0.00272479564032698,0.000877706260971328,0.00264200792602378,0
"1",5.3e+07,53500000,4,0,16,3,9,5,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0,0.00350723366944323,0.00408719346049046,0.00263311878291398,0.00165125495376486,0
"1",53500000,5.4e+07,2,6,15,0,3,8,0,3174,846,4562,734,3418,3028,117,0.000630119722747322,0.00709219858156028,0.00328803156510302,0,0.000877706260971328,0.00264200792602378,0
"1",5.4e+07,54500000,0,2,4,1,6,2,0,3174,846,4562,734,3418,3028,117,0,0.00236406619385343,0.000876808417360807,0.00136239782016349,0.00175541252194266,0.000660501981505945,0
"1",54500000,5.5e+07,8,1,15,2,12,3,2,3174,846,4562,734,3418,3028,117,0.00252047889098929,0.00118203309692671,0.00328803156510302,0.00272479564032698,0.00351082504388531,0.000990752972258917,0.0170940170940171
"1",5.5e+07,55500000,6,0,7,1,7,4,0,3174,846,4562,734,3418,3028,117,0.00189035916824197,0,0.00153441473038141,0.00136239782016349,0.00204798127559977,0.00132100396301189,0
"1",55500000,5.6e+07,1,0,3,2,5,0,0,3174,846,4562,734,3418,3028,117,0.000315059861373661,0,0.000657606313020605,0.00272479564032698,0.00146284376828555,0,0
"1",5.6e+07,56500000,8,2,9,0,6,2,0,3174,846,4562,734,3418,3028,117,0.00252047889098929,0.00236406619385343,0.00197281893906182,0,0.00175541252194266,0.000660501981505945,0
"1",56500000,5.7e+07,7,0,7,0,4,4,0,3174,846,4562,734,3418,3028,117,0.00220541902961563,0,0.00153441473038141,0,0.00117027501462844,0.00132100396301189,0
"1",5.7e+07,57500000,4,1,5,2,4,10,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0.00118203309692671,0.00109601052170101,0.00272479564032698,0.00117027501462844,0.00330250990752972,0
"1",57500000,5.8e+07,7,2,5,2,3,8,0,3174,846,4562,734,3418,3028,117,0.00220541902961563,0.00236406619385343,0.00109601052170101,0.00272479564032698,0.000877706260971328,0.00264200792602378,0
"1",5.8e+07,58500000,3,1,7,1,3,8,0,3174,846,4562,734,3418,3028,117,0.000945179584120983,0.00118203309692671,0.00153441473038141,0.00136239782016349,0.000877706260971328,0.00264200792602378,0
"1",58500000,5.9e+07,2,4,5,0,4,4,0,3174,846,4562,734,3418,3028,117,0.000630119722747322,0.00472813238770686,0.00109601052170101,0,0.00117027501462844,0.00132100396301189,0
"1",5.9e+07,59500000,11,0,6,1,6,6,0,3174,846,4562,734,3418,3028,117,0.00346565847511027,0,0.00131521262604121,0.00136239782016349,0.00175541252194266,0.00198150594451783,0
"1",59500000,6e+07,0,1,10,1,10,1,0,3174,846,4562,734,3418,3028,117,0,0.00118203309692671,0.00219202104340202,0.00136239782016349,0.00292568753657109,0.000330250990752972,0
"1",6e+07,60500000,3,2,15,0,3,1,0,3174,846,4562,734,3418,3028,117,0.000945179584120983,0.00236406619385343,0.00328803156510302,0,0.000877706260971328,0.000330250990752972,0
"1",60500000,6.1e+07,4,2,7,2,2,16,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0.00236406619385343,0.00153441473038141,0.00272479564032698,0.000585137507314219,0.00528401585204756,0
"1",6.1e+07,61500000,6,0,3,0,4,6,0,3174,846,4562,734,3418,3028,117,0.00189035916824197,0,0.000657606313020605,0,0.00117027501462844,0.00198150594451783,0
"1",61500000,6.2e+07,0,1,14,0,18,13,0,3174,846,4562,734,3418,3028,117,0,0.00118203309692671,0.00306882946076282,0,0.00526623756582797,0.00429326287978864,0
"1",6.2e+07,62500000,1,3,10,0,10,5,0,3174,846,4562,734,3418,3028,117,0.000315059861373661,0.00354609929078014,0.00219202104340202,0,0.00292568753657109,0.00165125495376486,0
"1",62500000,6.3e+07,1,0,12,0,10,5,0,3174,846,4562,734,3418,3028,117,0.000315059861373661,0,0.00263042525208242,0,0.00292568753657109,0.00165125495376486,0
"1",6.3e+07,63500000,10,0,6,0,5,7,0,3174,846,4562,734,3418,3028,117,0.00315059861373661,0,0.00131521262604121,0,0.00146284376828555,0.00231175693527081,0
"1",63500000,6.4e+07,1,0,7,0,8,6,0,3174,846,4562,734,3418,3028,117,0.000315059861373661,0,0.00153441473038141,0,0.00234055002925688,0.00198150594451783,0
"1",6.4e+07,64500000,4,0,4,0,11,6,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0,0.000876808417360807,0,0.0032182562902282,0.00198150594451783,0
"1",64500000,6.5e+07,3,4,5,0,2,5,0,3174,846,4562,734,3418,3028,117,0.000945179584120983,0.00472813238770686,0.00109601052170101,0,0.000585137507314219,0.00165125495376486,0
"1",6.5e+07,65500000,7,5,3,0,3,5,0,3174,846,4562,734,3418,3028,117,0.00220541902961563,0.00591016548463357,0.000657606313020605,0,0.000877706260971328,0.00165125495376486,0
"1",65500000,6.6e+07,1,4,10,0,7,4,0,3174,846,4562,734,3418,3028,117,0.000315059861373661,0.00472813238770686,0.00219202104340202,0,0.00204798127559977,0.00132100396301189,0
"1",6.6e+07,66500000,4,0,15,0,4,4,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0,0.00328803156510302,0,0.00117027501462844,0.00132100396301189,0
"1",66500000,6.7e+07,4,0,6,0,10,10,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0,0.00131521262604121,0,0.00292568753657109,0.00330250990752972,0
"1",6.7e+07,67500000,0,1,8,0,8,4,0,3174,846,4562,734,3418,3028,117,0,0.00118203309692671,0.00175361683472161,0,0.00234055002925688,0.00132100396301189,0
"1",67500000,6.8e+07,0,1,11,0,14,1,0,3174,846,4562,734,3418,3028,117,0,0.00118203309692671,0.00241122314774222,0,0.00409596255119953,0.000330250990752972,0
"1",6.8e+07,68500000,2,2,12,0,3,5,0,3174,846,4562,734,3418,3028,117,0.000630119722747322,0.00236406619385343,0.00263042525208242,0,0.000877706260971328,0.00165125495376486,0
"1",68500000,6.9e+07,0,4,10,5,9,8,0,3174,846,4562,734,3418,3028,117,0,0.00472813238770686,0.00219202104340202,0.00681198910081744,0.00263311878291398,0.00264200792602378,0
"1",6.9e+07,69500000,6,1,4,1,3,2,0,3174,846,4562,734,3418,3028,117,0.00189035916824197,0.00118203309692671,0.000876808417360807,0.00136239782016349,0.000877706260971328,0.000660501981505945,0
"1",69500000,7e+07,5,0,10,2,2,3,0,3174,846,4562,734,3418,3028,117,0.0015752993068683,0,0.00219202104340202,0.00272479564032698,0.000585137507314219,0.000990752972258917,0
